restaurant_name,restaurant_url,review_url_location,review_page_number,star_rating,review_lang,review_date,review_text,word_count,char_count,reviewer_name,reviewer_location,reviewer_friend_count,reviewer_review_count,reviewer_photo_count,reviewer_has_profile_image
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,3/26/2016,Lousy food selection.  Food was served cold and was unappetizing.  Service was very slow.,14,89,Mandi W.,"Green Bay, WI",0,4,2,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,6/25/2014,boring.  Not my kind of fun.,6,28,Stephen R.,"Milwaukee, WI",0,24,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,2/8/2013,Overrated overpriced tired,3,26,Matt G.,"Aurora, IL",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,7/6/2012,"We went the 4th of July, and the place is nice but the 75% of the restaurant was empty but they ask you to wait 1.5 hrs.The server was kind of loud and the next table didnt even had a clue on the Martini's prices.She forgot the flags in the burgers, didnt bring plates even we said we will start with a salad to share..plus it was a bit hot.But the decoration and the concept is great.",77,385,Betty R.,"Chicago, IL",0,13,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,12/19/2011,"Not worth going, unless your dad is in town and you've run out of things to do.",17,79,Katie R.,"Milwaukee, WI",61,216,1,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,4/19/2009,The food is bad but that is not what people go for - its the concept,16,68,Brian B.,"Eagle, WI",0,39,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,3.0,en,5/31/2022,Burger was nice but over done (although we ask for Medium) and a bit dry for my taste.  It looked good but not the taste.  The meat had no taste and thought it was from frozen. All I tasted was the ketchup sauce. The French fries was really good tho.,50,250,John D. M.,"WI, WI",19,33,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,1/12/2022,"Have only been here for drinks. Great bar, ok-service, and awesome ambience. Absolutely recommended reserving a table in advance.",19,129,James M.,"Milwaukee, WI",70,33,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,12/4/2018,It's fun. Interesting to look around for all ages. But the food was only ok and over priced. Drinks were weak and over priced.,24,126,Tiana S.,"Wilson Park, Milwaukee, WI",0,2,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,1/1/2018,"I was really excited to go here, as I thought it'd be a cool ""speakeasy"" type of place. From what I had found on the internet, I was expecting to have to solve a puzzle/riddle at the door. However, when we got there, it was more kitschy than I expected. The spy theme of the restaurant was a bit juvenile feeling. Also, to get inside, our group was basically instructed to dance and hug. Not much of a riddle?The food was fine and nothing to complain about there, I just couldn't get over the fact that the waitress would only refer to us as 'agents' and the check was the 'damage report'.I think this would be a fun place to take kids to, but I would recommend skipping if it's just adults.",132,691,Makenna S.,"Los Angeles, CA",221,40,45,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,5/11/2015,"Fun for something different, but food nothing to write home about.",11,66,Heidi F.,"Frisco, TX",30,3,3,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,3/21/2015,"Safehouse is such an awesome part of Milwaukee, if only the people that worked there treated as such.  I really hope someone comes thru soon and buys it and just puts some love back into it.  I had Louisiana Chicken which was pretty good but my husbands catfish poboy was just super fishy.",53,289,Samantha G.,"Wauwatosa, WI",99,8,6,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,4/25/2014,"Very fun, but the food is not the greatest. Worth going once for the experience!",15,80,Katie F.,"Franklin, WI",0,2,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,4/4/2014,It's not too bad.,4,17,Alexis F.,"St. Francis, WI",5,4,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,12/5/2012,My kids had a great time there. Definitely a fun place & a good experience. Great tourist place. The food wasn't the greatest if your are looking for a great place to dine. But hey my daughters only eat chicken fingers & fries.keeps the kids interest going & the prices were fairly reasonable.,53,293,Tina M.,"Philadelphia, PA",16,43,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,4/26/2012,"As a concept, this place is one-of-a-kind. It's a SPY BAR! Things are not what they seem! I saw a table with a group of people come up through the floor!!! (or did I?) It was a great experience. Unfortunately, the food was pretty standard pub fare and the drinks were mediocre at best. Great place to have a little fun, but not a food destination.",66,347,Mike C.,"Richmond, VA",1,14,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,3,3.0,en,3/29/2011,"Its always a good time, fun theme and music. You wont just sit around and have a beer at this place.Too bad the food is boring and straight for Sam's Club. Service at the bar has always been a let down too.",42,206,Dani B.,"Milwaukee, WI",0,11,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,3.0,en,12/4/2009,"Yeah I don't know why everyone gives 5 stars for this place. Anyways...the ambiance is really weird which is cool at first. It seems like there are a lot of little gimmicks inside this place that are worn down and no longer work. Anyways, the service is slow. The quality of the food is just a touch above what you would find in a school cafeteria. And...YEP YOU GUESSED IT...the service is SLOOOOW AS BALLS.That being said, the surroundings within the place are interesting enough for a few minutes. Until you get pissed about the slow service. Then when you get the food, you breathe a sigh of relief--until you taste it that is.Our hot wings were not very meaty, and sort of over-cooked. While ordering the waitress had asked me how I wanted my burger cooked--I gleefully said MEDIUM. This burger was more like a well done pile of poo. It was juiceless and tough. The fries were ok.The only good part of this dinner was my two martinis. At least they got the shaken and not stirred part right. Will I be back? Certainly not for the service...and certainly NOT to pay city prices for DOG FOOD.",199,1095,Jason H.,"Des Plaines, IL",73,90,38,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,3.0,en,10/13/2008,Odd.Crappy food.,2,16,Colin D.,"Evanston, IL",5,66,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,4.0,en,2/14/2020,"Very great food, atmosphere, and I will return soon",9,51,Luke 0.,"San Francisco, CA",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,4.0,en,11/30/2019,"We ordered a Pepsi and a beer along with fried green beans/ cheese curds. Drinks is pretty good. Very interesting bar. The staff quickly addressed the issue to a satisfactory outcome. Overall a nice experience if your expectations are for a spy themed, funny time.",45,264,Chloe A.,"Laurel Glen, Pumpkin Center, CA",29,11,4,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,4.0,en,8/30/2018,Get dresses up in your best Noir Inspired Garb and get ready to have some fun! Be sure to check out the Magician Bartender and ask about Birthday Surprises!,29,156,Colleen M.,"Milwaukee, WI",15,4,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,4.0,en,5/27/2018,"The place is always fun! The food is Ok, but the experience more than makes up for what the food may be lacking! Go be adventurous!!!",26,133,Carla V.,"Baytown, TX",0,4,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,4.0,en,3/6/2018,"I love coming to SafeHouse! Although service is sometimes slow and it may take a while to get seated during busy hours, it is definitely worth it for the overall experience.",31,173,Kara R.,"San Francisco, CA",187,13,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,4.0,en,1/18/2018,"I wouldn't recommend this place for food, but if you're new to Milwaukee or coming in from out of town, it's a must see!  Tons of history and really cool stuff like a rotating table that goes into the other bar next door, trap floor, hidden bookshelves, secret exit and so much more!",53,283,Pete S.,"Lombard, IL",0,7,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,4.0,en,11/16/2017,"always a fun place to meet friend and go!  There is also always something different going on and you can check out all the secret things that have around the place.  Good food and very good drinks, with a fantastic staff.",41,221,Kirk V.,"Milwaukee, WI",0,4,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,4,4.0,en,1/4/2016,"Very unique venue, so many things to see it will keep you busy exploring every inch of this place. When in Milwaukee, this is a must see.",27,137,Tony L.,"Willowbrook, IL",11,75,7,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,7/29/2015,"This is a different little spot in downtown Milwaukee.  Most people have heard of it and what you need to do to get in, but if not, be sure to bring your friends or family here!  Food isn't awesome, just good, but atmosphere is fun.",45,232,Carolyn M.,"Waukesha, WI",2,4,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,9/17/2014,Great fun!,2,10,Deborah V.,"Saint Louis, MO",25,7,2,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,5/13/2014,Great place for special occasions.,5,34,Duke L.,"Brookfield, WI",167,83,38,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,8/5/2013,A fun place to grab a drink!,7,28,Stephanie C.,"Chicago, IL",148,124,6,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,8/20/2012,"A great experience, an original take on a restaurant!!",9,54,Mel M.,"North Chicago, IL",12,8,1,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,11/22/2011,great comedy shows,3,18,Keyia B.,"Orlando, FL",118,25,11,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,4/4/2010,"What happens at the Safe House, stays at the Safe House.",11,56,Michelle C.,"Kouts, IN",36,80,6,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,4/3/2010,Worth a stop in at least once. Plus they support Geocachers!,11,60,Jules M.,"Milwaukee, WI",52,174,23,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,4.0,en,9/23/2007,"I really enjoyed it here, and we had soooo much fun!!",11,53,Danielle S.,"Milwaukee, WI",0,1,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,5,5.0,en,3/24/2024,I appreciate that they had a couple of n.a. Beer options and the staff is always friendly and fun.,19,98,Richard H.,"Stillwater, MN",0,31,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,2/7/2023,"Great food, great atmosphere, and great service! I'll definitely be back many more times for sure!!",16,99,Jake O.,"Tracys Landing, MD",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,"2/20/2022
            





Updated review","So yesterday my husband a couple other dad's showed up during late lunch no reservations, which I tell you is never a good idea especially when you need a table for 10! We requested ancient Orange section but the poor girl was totally full not one seat open in her section so yes of course we were disappointed but ancient Orange talk to the hostess and found us a table in Germany, thank you Agent Orange! The kids were disappointed but were extremely grateful that they were able to be seated agent orange promised that she would come by the table and see them when she had a chance. I don't know how she did it because according to my husband the place was packed but she made time for all the kids. Now you know why she's our favorite server she is a gem. We love you agent Orange! See you soon!",153,799,Home Town G.,"Union Grove, WI",1,19,14,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,4.0,en,"1/16/2022
            
Previous review","Took my friend here today for lunch. I had been here before she had not. She had the MOAB and I had the turkey BLT, we also did the bottomless mimosas. Had a great time,food was awesome. The place was packed but the food was out in a timely manner seeing we were not on a time sensitive mission we were okay with the way. Our spy waiter agent Alto was wonderful and agent cash and agent Rosa stepped in as backup. Had a blast!! Highly recommended for the family fun days.",92,471,Tamz R.,"Franklin, WI",2,9,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,7/25/2021,Great!,1,6,Kristine E.,"IL, IL",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,7/3/2021,"I took my boyfriend here on a date here for his birthday. He loves spy stuff so it was the perfect place! Unfortunately, we went on a week day so the service wasn't as enthusiastic as it usually is and the magician bar was closed (though it said open). The menu was all spy themed and my boyfriend had a blast trying to figure out the puzzles. Of course, he didn't know the password so I had a lot of fun watching him do a silly dance to get in!",90,445,Alyssa W.,"San Francisco, CA",171,17,4,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,3/27/2020,Always a great experience when I go to the Safe House.  Food was great and the service from Agent Libra was outstanding.   Will be back soon.,26,141,Kim S.,"Eureka, WI",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,3/3/2020,"Agent Hawkeye is the best server in town. My irritable bowel syndrome acts up frequently, causing public accidents quite often. Agent Hawkeye made me feel very welcome as the feces slid down my pants, and took it upon himself to clean the entirety of it. Even from my leg and my shoe! He made a special effort to make eye contact with me the whole time, just to help me maintain my dignity. 10/10 service, request agent Hawkeye if you come here!",82,445,Zach M.,"Westown, Milwaukee, WI",259,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,2/27/2020,"Stopped in on karaoke night with agent stitch behind the bar. Service was fast and efficient, and conversation was enjoyable. Will so come back with friends and such to show them this spot! Everyone was amazing.",36,211,Noah T.,"Milwaukee, WI",51,1,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,2/26/2020,"It was awesome great service and our waitress ""agent Libra"" was a great help and a great atmosphere. I highly recommend the ""Moab"" for a great burger and the cook ""agent Remy"" was amazing at cooking the dishes for me and my family. If your on a night on the town, I highly recommend stopping at safe house you'll have a great time I promise.",65,341,Iss A.,"East Town, Milwaukee, WI",4,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,6,5.0,en,2/16/2020,Great cool underground restaurant with lots of different rooms. We had a great time with the kids here.,18,103,Chase F.,"Milwaukee, WI",0,2,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,1/18/2019,"I haven't been there in over 15 years, but this place is a good time.",15,69,Very M.,"Milwaukee, WI",0,9,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,8/26/2018,Such an awesome place.  Love watching all the things people have to do if they don't know the password.  Check this place out if you haven't!!,26,142,Cassie C.,"New Berlin, WI",0,30,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,5/2/2018,Always a fun time at the Safe House.  Got to sit in the booth that spins which was pretty cool.  We took our picture in the photo booth too and saw the magician.  Our servers were great and food was amazing.  Will definitely be back!,45,233,Julie K.,"Pewaukee, WI",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,3/9/2018,"I'm so happy with the turnaround this place has made! I remember as a young child living in a small town, my parents made the exciting trip to the big city to go out with some friends.  When they returned from the SafeHouse, they were giddy and tipsy, and also confided in us children the secret password. Of course I committed it to memory.Years later I had a chance to visit, but to be honest it was a little blurry- I came away with the general impression that it was grimy and didn't smell very nice.When I heard that it was bought and being reopened, I wondered if it would be anything like my parents remembered if I got a chance to go visit again. Would the new owners gut it completely? Can't say I would have necessarily blamed them.Instead I was surprised and excited to see that they basically kept all of the original pieces, structures, themes and contraptions with some updates. They did a really nice job of cleaning it up, while somehow preserving its history.On top of that it's really family friendly now, which I love!!! Not just a place to go get wasted, but a fun and fantastic destination with excellent food as well!",208,1139,Kimberly E.,"Milwaukee, WI",26,4,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,3/5/2018,"The food, the service, the atmosphere - everything was amazing. I was there for a birthday party and we all had an absolutely amazing time. Our server, Agent 00Fox was a hoot and a half (definitely request him if you can!). But most definitely make sure you visit Luca at the magic bar. Absolutely amazing.",55,306,Elizabeth O.,"San Francisco, CA",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,12/25/2017,Came in December 22nd and Agent Unicorn was the bomb. 10/10 would go back,14,73,Olivia K.,"Green Bay, WI",0,1,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,12/23/2017,"Had a very entertaining and enjoyable experience. The staff was very friendly, fun, and kept up a great atmosphere; especially our waitress Agent Buttercup! Definitely a place everyone should experience. Will be stopping in again soon!",36,235,Anthony P.,"Slinger, WI",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,12/20/2017,"What an amazing experience!! This is such an unusual restaurant. Who would think a restaurant with a secret entrance and exit would be so popular. Drinks were good, food is slightly above average but the experience is the reason to go. If you have never been there you have to try it.",52,284,Mark S.,"Elkhart Lake, WI",0,4,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,11/22/2017,It's a milwaukee staple. Always a great time.  Favorite drink-spy demise.  Don't forget to check out the secret exit!,19,117,Richard S.,"Milwaukee, WI",0,7,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,7,5.0,en,10/24/2017,"This place is amazing! A great place to take friends, family and visitors. My favorite item is the cheese curds! So good!!!!! This is an experience you don't want to miss",31,170,Erin L.,"Plano, TX",295,98,29,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,8,5.0,en,2/22/2017,"We loooooooove The Safe House!!!! Always a great time and you can't beat the fun atmosphere.  They've changed their menu since the last time we were here and now the food matches the great time to be had! Having to give the password at the door never gets old and always makes me feel like I'm on some sort of spy mission! An oldie but goodie, The Safe House is one of my all-time favorites here in Milwaukee!",78,409,Frankie B.,"Milwaukee, WI",0,2,0,1
